customerID,tenure,Contract,PaymentMethod,PaymentMethod_[0],TotalCharges,Churn
7799-LGRDP,43,"Two year","Credit card (automatic)","Credit card (automatic)",1188.2,No
7850-VWJUU,23,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",1778.5,No
3774-VBNXY,64,"Two year","Mailed check","Mailed check",1277.75,No
6217-KDYWC,57,"Two year","Mailed check","Mailed check",1170.55,No
0390-DCFDQ,1,Month-to-month,"Mailed check","Mailed check",70.45,Yes
3146-MSEGF,72,"Two year","Credit card (automatic)","Credit card (automatic)",6425.65,No
4080-OGPJL,8,Month-to-month,"Electronic check","Electronic check",563.65,Yes
1095-WGNGG,61,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",5971.25,No
2636-SJDOU,64,"One year","Credit card (automatic)","Credit card (automatic)",5289.05,No
1131-QQZEB,71,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",1756.2,No
5716-EZXZN,65,"Two year","Credit card (automatic)","Credit card (automatic)",6416.7,No
6837-BJYDQ,3,"One year","Mailed check","Mailed check",61.35,No
2135-RXIHG,1,Month-to-month,"Electronic check","Electronic check",45.65,Yes
6440-DKQGE,30,"One year","Credit card (automatic)","Credit card (automatic)",1929.95,No
3466-BYAVD,15,Month-to-month,"Mailed check","Mailed check",1071.4,No
3780-YVMFA,8,Month-to-month,"Electronic check","Electronic check",564.35,No
3874-EQOEP,7,Month-to-month,"Mailed check","Mailed check",655.5,Yes
1679-JRFBR,70,"One year","Credit card (automatic)","Credit card (automatic)",7930.55,No
9073-ZZIAY,62,"Two year","Electronic check","Electronic check",5215.25,No
3077-RSNTJ,6,Month-to-month,"Mailed check","Mailed check",113.5,No
6551-GNYDG,14,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",1152.8,No
9167-APMXZ,22,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",1821.95,No
2749-CTKAJ,22,"One year","Mailed check","Mailed check",419.9,No
6371-NZYEG,16,"Two year","Mailed check","Mailed check",1024,No
7554-NEWDD,10,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",251.6,No
8992-VONJD,13,Month-to-month,"Electronic check","Electronic check",764.55,No
0867-MKZVY,20,Month-to-month,"Electronic check","Electronic check",1592.35,Yes
4482-EWFMI,2,Month-to-month,"Electronic check","Electronic check",135.2,No
4648-YPBTM,53,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",3958.25,No
2907-ILJBN,11,"One year","Mailed check","Mailed check",233.9,No
6345-FZOQH,69,"Two year","Mailed check","Mailed check",1363.45,No
3376-BMGFE,4,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",273,Yes
5997-OPVFA,72,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",6254.45,No
3445-HXXGF,58,Month-to-month,"Electronic check","Electronic check",2651.2,Yes
1159-WFSGR,16,Month-to-month,"Electronic check","Electronic check",321.4,No
7654-YWJUF,43,"One year","Bank transfer (automatic)","Bank transfer (automatic)",3539.25,No
1875-QIVME,2,Month-to-month,"Electronic check","Electronic check",242.8,Yes
6727-IOTLZ,14,"Two year","Mailed check","Mailed check",1181.75,No
0691-JVSYA,53,"One year","Bank transfer (automatic)","Bank transfer (automatic)",5000.2,Yes
5918-VUKWP,32,"One year","Bank transfer (automatic)","Bank transfer (automatic)",654.55,No
1744-JHKYS,34,Month-to-month,"Electronic check","Electronic check",780.2,No
2656-FMOKZ,15,Month-to-month,"Mailed check","Mailed check",1145.7,Yes
2070-FNEXE,7,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",503.6,Yes
5947-SGKCL,15,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",1559.25,No
3712-PKXZA,61,"One year","Credit card (automatic)","Credit card (automatic)",1252,No
6317-YPKDH,1,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",29.95,Yes
6582-OIVSP,1,Month-to-month,"Mailed check","Mailed check",45.3,No
9367-WXLCH,8,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",662.65,Yes
5524-KHNJP,33,"One year","Credit card (automatic)","Credit card (automatic)",2453.3,No
1918-ZBFQJ,13,Month-to-month,"Electronic check","Electronic check",1111.65,Yes
1024-GUALD,1,Month-to-month,"Electronic check","Electronic check",24.8,Yes
4827-USJHP,20,Month-to-month,"Mailed check","Mailed check",1023.85,No
8167-GJLRN,3,Month-to-month,"Electronic check","Electronic check",82.15,No
0956-SYCWG,13,"One year","Electronic check","Electronic check",244.8,No
8017-UVSZU,40,Month-to-month,"Credit card (automatic)","Credit card (automatic)",2379.1,No
7100-FQPRV,43,"One year","Credit card (automatic)","Credit card (automatic)",3173.35,No
2472-OVKUP,6,Month-to-month,"Electronic check","Electronic check",531,Yes
2984-RGEYA,69,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",1375.4,No
9680-NIAUV,72,"Two year","Credit card (automatic)","Credit card (automatic)",8129.3,No
2146-EGVDT,59,"Two year","Credit card (automatic)","Credit card (automatic)",1192.7,No
2604-IJPDU,20,Month-to-month,"Electronic check","Electronic check",1901.65,No
9178-JHUVJ,24,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",587.4,No
6168-YBYNP,59,Month-to-month,"Electronic check","Electronic check",6519.75,No
7255-SSFBC,72,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",8041.65,No
3645-DEYGF,1,Month-to-month,"Mailed check","Mailed check",20.75,No
9323-HGFWY,27,"One year","Credit card (automatic)","Credit card (automatic)",2681.15,No
8544-GOQSH,14,Month-to-month,"Credit card (automatic)","Credit card (automatic)",1112.3,No
3363-DTIVD,71,"Two year","Electronic check","Electronic check",7405.5,No
7018-WBJNK,13,Month-to-month,"Credit card (automatic)","Credit card (automatic)",1033.95,No
9142-KZXOP,44,Month-to-month,"Credit card (automatic)","Credit card (automatic)",2958.95,No
7674-YTAFD,33,"One year","Bank transfer (automatic)","Bank transfer (automatic)",2684.85,No
6348-SNFUS,72,"Two year","Credit card (automatic)","Credit card (automatic)",4179.2,No
1285-OKIPP,1,Month-to-month,"Electronic check","Electronic check",79.9,Yes
7825-ECJRF,19,Month-to-month,"Electronic check","Electronic check",1934.45,Yes
1347-KTTTA,64,"One year","Credit card (automatic)","Credit card (automatic)",6654.1,No
7841-TZDMQ,2,Month-to-month,"Credit card (automatic)","Credit card (automatic)",84.5,Yes
4195-NZGTA,1,Month-to-month,"Electronic check","Electronic check",25.25,No
7157-SMCFK,61,"Two year","Mailed check","Mailed check",1124.2,No
4709-LKHYG,29,"One year","Electronic check","Electronic check",540.05,No
2504-DSHIH,23,Month-to-month,"Electronic check","Electronic check",1975.85,No
0699-NDKJM,57,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",3437.45,No
9286-BHDQG,72,"Two year","Credit card (automatic)","Credit card (automatic)",3139.8,No
0230-WEQUW,66,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",3789.2,No
2040-LDIWQ,65,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",5324.5,No
6496-JDSSB,8,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",624.6,No
9408-SSNVZ,4,Month-to-month,"Electronic check","Electronic check",268.35,Yes
4443-EMBNA,71,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",1836.9,No
6469-MRVET,1,"One year","Electronic check","Electronic check",20.2,No
0742-MOABM,4,Month-to-month,"Mailed check","Mailed check",179.35,Yes
5961-VUSRV,12,"One year","Bank transfer (automatic)","Bank transfer (automatic)",219.35,No
6778-JFCMK,24,"One year","Mailed check","Mailed check",1288.75,No
6341-JVQGF,31,"One year","Mailed check","Mailed check",2545.75,No
2232-DMLXU,1,Month-to-month,"Mailed check","Mailed check",55.2,Yes
4811-JBUVU,30,Month-to-month,"Credit card (automatic)","Credit card (automatic)",2723.15,No
0945-TSONX,47,"Two year","Credit card (automatic)","Credit card (automatic)",4107.25,No
2651-ZCBXV,54,"Two year","Credit card (automatic)","Credit card (automatic)",5760.65,No
3316-UWXUY,50,Month-to-month,"Credit card (automatic)","Credit card (automatic)",4747.5,No
8937-RDTHP,1,Month-to-month,"Mailed check","Mailed check",84.6,Yes
7083-MIOPC,72,"Two year","Credit card (automatic)","Credit card (automatic)",1566.9,No
1984-GPTEH,29,Month-to-month,"Electronic check","Electronic check",702,No
1251-KRREG,2,Month-to-month,"Mailed check","Mailed check",114.1,Yes
0621-JFHOL,10,"Two year","Mailed check","Mailed check",299.05,No
9903-LYSAB,18,Month-to-month,"Electronic check","Electronic check",1305.95,No
0094-OIFMO,11,Month-to-month,"Electronic check","Electronic check",1120.3,Yes
9227-UAQFT,16,"Two year","Mailed check","Mailed check",284.35,No
7301-ABVAD,72,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",6350.5,No
6614-FHDBO,72,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",7878.3,No
7576-ASEJU,41,"One year","Credit card (automatic)","Credit card (automatic)",3187.65,No
9058-HRZSV,65,Month-to-month,"Electronic check","Electronic check",6126.15,No
4522-AKYLR,13,Month-to-month,"Electronic check","Electronic check",731.3,No
0221-WMXNQ,4,Month-to-month,"Electronic check","Electronic check",273.4,No
0303-UNCIP,41,"One year","Mailed check","Mailed check",2531.8,No
9947-OTFQU,15,Month-to-month,"Electronic check","Electronic check",1074.3,Yes
0322-YINQP,1,Month-to-month,"Mailed check","Mailed check",48.55,Yes
0959-WHOKV,42,"One year","Electronic check","Electronic check",4298.45,No
4075-JFPGR,51,"One year","Electronic check","Electronic check",4619.55,No
4629-NRXKX,2,Month-to-month,"Electronic check","Electronic check",147.15,Yes
9514-JDSKI,1,Month-to-month,"Electronic check","Electronic check",40.2,Yes
3282-ZISZV,32,"One year","Credit card (automatic)","Credit card (automatic)",2633.3,No
3675-YDUPJ,10,Month-to-month,"Mailed check","Mailed check",193.05,No
4111-BNXIF,67,"Two year","Electronic check","Electronic check",4103.9,No
7017-VFHAY,61,"Two year","Credit card (automatic)","Credit card (automatic)",7008.15,No
6655-LHBYW,50,"One year","Credit card (automatic)","Credit card (automatic)",5791.1,No
4959-JOSRX,2,Month-to-month,"Credit card (automatic)","Credit card (automatic)",80.55,Yes
5046-NUHWD,29,Month-to-month,"Electronic check","Electronic check",1228.65,No
7273-TEFQD,3,Month-to-month,"Electronic check","Electronic check",132.2,Yes
3606-TWKGI,13,Month-to-month,"Electronic check","Electronic check",1364.3,Yes
7529-ZDFXI,57,Month-to-month,"Electronic check","Electronic check",4925.35,No
7605-BDWDC,31,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",1520.1,No
1950-KSVVJ,45,"One year","Mailed check","Mailed check",5032.25,No
0123-CRBRT,61,"Two year","Mailed check","Mailed check",5526.75,No
6292-TOSSS,50,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",1195.25,No
3197-ARFOY,19,Month-to-month,"Mailed check","Mailed check",2007.25,No
6323-AYBRX,59,"Two year","Mailed check","Mailed check",1099.6,Yes
7014-ZZXAW,71,"Two year","Credit card (automatic)","Credit card (automatic)",1732.95,No
4385-GZQXV,16,Month-to-month,"Electronic check","Electronic check",1511.2,Yes
7633-MVPUY,57,"Two year","Electronic check","Electronic check",3450.15,No
6366-ZGQGL,1,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",24.8,Yes
4716-HHKQH,20,Month-to-month,"Electronic check","Electronic check",2172.05,No
5940-AHUHD,1,Month-to-month,"Mailed check","Mailed check",70.6,Yes
6432-TWQLB,5,Month-to-month,"Electronic check","Electronic check",401.1,Yes
4484-GLZOU,52,Month-to-month,"Electronic check","Electronic check",5624.85,Yes
3179-GBRWV,21,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",1339.8,No
8645-KWHJO,14,Month-to-month,"Electronic check","Electronic check",771.95,No
4130-MZLCC,5,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",244.75,No
0314-TKOSI,6,Month-to-month,"Mailed check","Mailed check",322.9,No
8229-MYEJZ,10,Month-to-month,"Electronic check","Electronic check",498.25,No
2080-SRCDE,1,Month-to-month,"Mailed check","Mailed check",25.4,No
9577-WJVCQ,68,Month-to-month,"Mailed check","Mailed check",3687.75,No
9512-UIBFX,18,Month-to-month,"Mailed check","Mailed check",1779.95,Yes
6202-DYYFX,22,"One year","Credit card (automatic)","Credit card (automatic)",1783.6,No
3808-HFKDE,20,Month-to-month,"Electronic check","Electronic check",927.15,No
5583-SXDAG,1,Month-to-month,"Electronic check","Electronic check",70,Yes
3488-PGMQJ,8,Month-to-month,"Electronic check","Electronic check",606.55,Yes
3580-REOAC,10,Month-to-month,"Credit card (automatic)","Credit card (automatic)",435.4,Yes
7534-BFESC,24,Month-to-month,"Electronic check","Electronic check",1712.7,Yes
3727-OWVYD,35,"One year","Mailed check","Mailed check",2021.2,No
2294-SALNE,23,"One year","Mailed check","Mailed check",1940.8,No
4847-TAJYI,6,Month-to-month,"Electronic check","Electronic check",567.8,No
1563-IWQEX,12,Month-to-month,"Mailed check","Mailed check",220.35,No
8203-XJZRC,1,Month-to-month,"Mailed check","Mailed check",20.25,No
6556-DBKZF,71,"Two year","Electronic check","Electronic check",5436.45,No
6851-WEFYX,35,Month-to-month,"Electronic check","Electronic check",3437.5,No
2985-JUUBZ,40,Month-to-month,"Electronic check","Electronic check",3015.75,No
6390-DSAZX,1,Month-to-month,"Mailed check","Mailed check",73.6,Yes
0895-LMRSF,23,"One year","Bank transfer (automatic)","Bank transfer (automatic)",1509.8,No
8098-LLAZX,4,Month-to-month,"Electronic check","Electronic check",396.1,Yes
8266-VBFQL,4,Month-to-month,"Electronic check","Electronic check",356.65,No
8181-YHCMF,68,"Two year","Credit card (automatic)","Credit card (automatic)",4109,No
2240-HSJQD,38,Month-to-month,"Mailed check","Mailed check",3141.7,No
1248-DYXUB,52,"Two year","Mailed check","Mailed check",1229.1,No
0265-EDXBD,32,Month-to-month,"Electronic check","Electronic check",2303.35,Yes
4115-BNPJY,29,"Two year","Mailed check","Mailed check",2054.4,No
3167-SNQPL,38,Month-to-month,"Electronic check","Electronic check",3741.85,No
4091-TVOCN,48,"One year","Credit card (automatic)","Credit card (automatic)",3682.45,No
1098-TDVUQ,1,Month-to-month,"Bank transfer (automatic)","Bank transfer (automatic)",19.25,No
7277-OZCGZ,22,Month-to-month,"Electronic check","Electronic check",1886.25,No
1557-EMYVT,43,"Two year","Credit card (automatic)","Credit card (automatic)",4895.1,No
2799-ARNLO,5,Month-to-month,"Electronic check","Electronic check",341.6,No
7563-BIUPC,5,Month-to-month,"Electronic check","Electronic check",415.55,Yes
5027-YOCXN,51,"One year","Credit card (automatic)","Credit card (automatic)",5686.4,No
3973-SKMLN,71,"Two year","Credit card (automatic)","Credit card (automatic)",1355.1,No
2321-OMBXY,38,"One year","Credit card (automatic)","Credit card (automatic)",3058.65,Yes
2840-XANRC,24,Month-to-month,"Electronic check","Electronic check",2231.05,Yes
6745-JEFZB,35,Month-to-month,"Credit card (automatic)","Credit card (automatic)",3236.35,No
5020-ZSTTY,54,"One year","Bank transfer (automatic)","Bank transfer (automatic)",4350.1,Yes
9880-TDQAC,72,"Two year","Electronic check","Electronic check",4264,No
8705-WZCYL,1,Month-to-month,"Electronic check","Electronic check",44.8,No
7102-JJVTX,9,"One year","Mailed check","Mailed check",422.3,No
8626-PTQGE,69,"Two year","Bank transfer (automatic)","Bank transfer (automatic)",4176.7,No
4983-CLMLV,52,Month-to-month,"Credit card (automatic)","Credit card (automatic)",5138.1,No
5701-YVSVF,11,Month-to-month,"Electronic check","Electronic check",880.05,No
5804-LEPIM,2,Month-to-month,"Electronic check","Electronic check",139.05,Yes
5697-GOMBF,28,Month-to-month,"Electronic check","Electronic check",973.65,No
2739-CACDQ,17,Month-to-month,"Credit card (automatic)","Credit card (automatic)",1470.05,No
9385-EHGDO,35,"Two year","Mailed check","Mailed check",739.35,No
9498-FIMXL,8,"One year","Mailed check","Mailed check",161.95,No
2379-GYFLQ,46,"One year","Credit card (automatic)","Credit card (automatic)",4422.95,No
0122-OAHPZ,7,Month-to-month,"Electronic check","Electronic check",511.25,Yes
2868-SNELZ,2,Month-to-month,"Mailed check","Mailed check",155.8,Yes
4322-RCYMT,68,"One year","Bank transfer (automatic)","Bank transfer (automatic)",5293.95,Yes
6680-NENYN,43,"Two year","Electronic check","Electronic check",4759.85,Yes
2088-IEBAU,68,"Two year","Electronic check","Electronic check",6148.45,No
7982-VCELR,36,Month-to-month,"Credit card (automatic)","Credit card (automatic)",3565.65,No
1343-EHPYB,63,Month-to-month,"Electronic check","Electronic check",6603,Yes
